file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,211,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
style.css,212,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,11
style.css,213,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,13
style.css,214,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,19
style.css,215,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,10
style.css,216,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,15
style.css,217,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,14
style.css,218,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,18
style.css,219,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,38
style.css,220,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,29
style.css,221,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,14
style.css,222,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
style.css,223,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
style.css,224,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,17
style.css,225,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,60
style.css,226,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
style.css,227,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
style.css,228,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,14
style.css,229,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,18
style.css,230,css,1c010de5,dkanodia,2025-05-03,14:21:47,-07:00,2025-05-03T14:21:47-07:00,0,14
style.css,231,css,0f2413f0,dkanodia,2025-05-03,00:46:32,-07:00,2025-05-03T00:46:32-07:00,0,0
